https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1614643200000,2021-03-02 00:00:00,SOL/USDT,15.0005,15.2846,13.4200,13.9565,8405922,120709456.7155,212713
1614556800000,2021-03-01 00:00:00,SOL/USDT,13.0973,15.5512,13.0287,15.0036,10624143,154966760.4960,287297
1614470400000,2021-02-28 00:00:00,SOL/USDT,13.1862,13.7800,11.4245,13.1072,13172276,164743881.4361,331548
1614384000000,2021-02-27 00:00:00,SOL/USDT,13.5990,14.8596,12.9893,13.1900,11015216,152757534.6192,260457
1614297600000,2021-02-26 00:00:00,SOL/USDT,13.8489,15.5453,13.1035,13.5941,14325250,202066752.8803,324308
1614211200000,2021-02-25 00:00:00,SOL/USDT,17.2343,17.7942,13.7180,13.8484,13553123,214689548.2196,336461
1614124800000,2021-02-24 00:00:00,SOL/USDT,15.2513,18.1794,14.8462,17.2227,17533006,288377071.1670,438498
1614038400000,2021-02-23 00:00:00,SOL/USDT,14.3421,15.8026,11.3999,15.2413,35375505,499084811.8413,907108
1613952000000,2021-02-22 00:00:00,SOL/USDT,11.0805,14.5550,8.8800,14.3413,23095577,268161272.8975,507662
1613865600000,2021-02-21 00:00:00,SOL/USDT,9.9957,11.6436,9.8439,11.0851,9997068,107217506.7520,198089
1613779200000,2021-02-20 00:00:00,SOL/USDT,11.5140,11.7940,9.8169,9.9965,10415260,111777411.4462,199035
1613692800000,2021-02-19 00:00:00,SOL/USDT,8.9976,11.8291,8.5499,11.5096,14030591,144021226.8033,280798
1613606400000,2021-02-18 00:00:00,SOL/USDT,8.2552,9.3339,8.2552,8.9956,7757334,68347331.3244,125263
1613520000000,2021-02-17 00:00:00,SOL/USDT,8.3050,8.4721,7.5269,8.2533,8141648,65771249.7314,131535
1613433600000,2021-02-16 00:00:00,SOL/USDT,8.8762,9.0065,7.9613,8.3036,7326365,62361410.3364,119928
1613347200000,2021-02-15 00:00:00,SOL/USDT,8.7303,9.3467,7.5870,8.8695,9052035,77531975.1808,152882
1613260800000,2021-02-14 00:00:00,SOL/USDT,8.7649,9.2621,8.5616,8.7306,7992002,70573355.3629,131417
1613174400000,2021-02-13 00:00:00,SOL/USDT,9.2368,9.5429,8.6801,8.7627,8675628,78714696.8564,138970
1613088000000,2021-02-12 00:00:00,SOL/USDT,9.2197,9.9378,9.0606,9.2344,8241627,78100042.7849,138593
1613001600000,2021-02-11 00:00:00,SOL/USDT,9.1098,9.7175,8.7443,9.2215,10532781,97104778.9704,189812
1612915200000,2021-02-10 00:00:00,SOL/USDT,7.8412,9.1231,7.2879,9.1102,11384565,93712222.3255,195961
1612828800000,2021-02-09 00:00:00,SOL/USDT,7.8934,8.5344,7.5675,7.8335,9061306,72422591.0310,150182
1612742400000,2021-02-08 00:00:00,SOL/USDT,6.7028,8.1208,6.4777,7.8917,12187065,90981834.4070,203721
1612656000000,2021-02-07 00:00:00,SOL/USDT,6.1320,6.8786,5.7500,6.7037,11675131,74565383.6927,180310
1612569600000,2021-02-06 00:00:00,SOL/USDT,6.7116,6.8360,5.7099,6.1325,10613182,65061679.5271,159881
1612483200000,2021-02-05 00:00:00,SOL/USDT,6.4360,7.1800,6.4272,6.7101,10453016,71054161.2480,153606
1612396800000,2021-02-04 00:00:00,SOL/USDT,5.7373,6.5750,5.5813,6.4358,10586958,63102696.7086,150812
1612310400000,2021-02-03 00:00:00,SOL/USDT,5.2539,5.8225,5.0671,5.7373,9346987,50514591.2804,122894
1612224000000,2021-02-02 00:00:00,SOL/USDT,4.6200,5.4668,4.4649,5.2529,13922582,70574879.2988,170294
1612137600000,2021-02-01 00:00:00,SOL/USDT,4.2644,4.6234,4.0986,4.6234,7266915,31231312.9089,89181
1612051200000,2021-01-31 00:00:00,SOL/USDT,4.2440,4.8252,4.1620,4.2628,12918581,57171630.1076,147040
1611964800000,2021-01-30 00:00:00,SOL/USDT,3.8429,4.3318,3.7673,4.2462,10740707,43239380.9122,120558
1611878400000,2021-01-29 00:00:00,SOL/USDT,3.8115,3.9314,3.6340,3.8409,7962280,30062932.8760,92925
1611792000000,2021-01-28 00:00:00,SOL/USDT,3.6726,3.9681,3.5930,3.8139,7597138,29010792.7687,86203
1611705600000,2021-01-27 00:00:00,SOL/USDT,4.0430,4.0447,3.5183,3.6727,9791075,36648062.0129,109838
1611619200000,2021-01-26 00:00:00,SOL/USDT,3.7024,4.1073,3.6623,4.0447,19930228,77480070.3350,188664
1611532800000,2021-01-25 00:00:00,SOL/USDT,3.6353,3.9867,3.4400,3.7044,14159404,52209407.1815,139406
1611446400000,2021-01-24 00:00:00,SOL/USDT,3.5082,3.7928,3.4802,3.6369,8471238,30767405.2685,93439
1611360000000,2021-01-23 00:00:00,SOL/USDT,3.3282,3.6038,3.3000,3.5094,9414060,32819117.0787,100165
1611273600000,2021-01-22 00:00:00,SOL/USDT,2.9813,3.4972,2.5122,3.3286,20353781,62879078.9580,185300
1611187200000,2021-01-21 00:00:00,SOL/USDT,3.7153,3.7397,2.9451,2.9793,13284877,44429041.4631,142984
1611100800000,2021-01-20 00:00:00,SOL/USDT,3.6279,3.7353,3.3240,3.7133,12201173,43544751.2818,141998
1611014400000,2021-01-19 00:00:00,SOL/USDT,3.7944,4.0443,3.5953,3.6276,12280022,46939878.3768,127283
1610928000000,2021-01-18 00:00:00,SOL/USDT,3.8344,4.1747,3.5942,3.7933,19257223,75033255.2263,168434
1610841600000,2021-01-17 00:00:00,SOL/USDT,3.4249,4.0200,3.3001,3.8328,24880543,91103986.2365,214840
