Date,Tweets
10/12/2019,3769
10/13/2019,3706
10/14/2019,4193
10/15/2019,4525
10/16/2019,3991
10/17/2019,3714
10/18/2019,3365
10/19/2019,3221
10/20/2019,3403
10/21/2019,3275
10/22/2019,3874
10/23/2019,3813
10/24/2019,3751
10/25/2019,3962
10/26/2019,3715
10/27/2019,3129
10/28/2019,3710
10/29/2019,4693
10/30/2019,4088
10/31/2019,4026
11/1/2019,3420
11/2/2019,3428
11/3/2019,3582
11/4/2019,4158
11/5/2019,3882
11/6/2019,4159
11/7/2019,3422
11/8/2019,3196
11/9/2019,3074
11/10/2019,3065
11/11/2019,3789
11/12/2019,3573
11/13/2019,3679
11/14/2019,3658
11/15/2019,4035
11/16/2019,3536
11/17/2019,3272
11/18/2019,3759
11/19/2019,5559
11/20/2019,4708
11/21/2019,4012
11/22/2019,4443
11/23/2019,3602
11/24/2019,3232
11/25/2019,3348
11/26/2019,3539
11/27/2019,4156
11/28/2019,3137
11/29/2019,3912
11/30/2019,3119
12/1/2019,3174
12/2/2019,3678
12/3/2019,3741
12/4/2019,3638
12/5/2019,3433
12/6/2019,3141
12/7/2019,3203
12/8/2019,3404
12/9/2019,3592
12/10/2019,3201
12/11/2019,3254
12/12/2019,3032
12/13/2019,3068
12/14/2019,2683
12/15/2019,2489
12/16/2019,2995
12/17/2019,2816
12/18/2019,3134
12/19/2019,3075
12/20/2019,2523
12/21/2019,2329
12/22/2019,2571
12/23/2019,2693
12/24/2019,2466
12/25/2019,2463
12/26/2019,3040
12/27/2019,2923
12/28/2019,2605
12/29/2019,2505
12/30/2019,2799
12/31/2019,2418
1/1/2020,2161
1/2/2020,3019
1/3/2020,2750
1/4/2020,2250
1/5/2020,2321
1/6/2020,2762
1/7/2020,2861
1/8/2020,2647
1/9/2020,3260
1/10/2020,3759
1/11/2020,2808
1/12/2020,2602
1/13/2020,3126
1/14/2020,3585
1/15/2020,3644
1/16/2020,3536
1/17/2020,3482
1/18/2020,3331
1/19/2020,3264
1/20/2020,3912
1/21/2020,4214
1/22/2020,3625
1/23/2020,3629
1/24/2020,3076
1/25/2020,2930
1/26/2020,2833
