https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1.61533E+12,3/10/2021 0:00,DOT/USDT,38.293,39.635,36.318,37.584,21562003.8,823660192.9,962596
1.61525E+12,3/9/2021 0:00,DOT/USDT,35.025,38.962,34.576,38.291,20194589,740975538.3,851491
1.61516E+12,3/8/2021 0:00,DOT/USDT,35.14,35.603,33.463,35.023,11075215.3,380875477.6,524277
1.61508E+12,3/7/2021 0:00,DOT/USDT,33.405,35.371,33.404,35.132,10300042.8,354449759.6,500503
1.61499E+12,3/6/2021 0:00,DOT/USDT,33.643,34.251,32.09,33.395,11070924.7,368140668.3,496538
1.6149E+12,3/5/2021 0:00,DOT/USDT,35.277,35.304,31.364,33.64,19390318.3,643024828.7,833681
1.61482E+12,3/4/2021 0:00,DOT/USDT,37.041,38.413,34.387,35.277,16195851.8,588587310.5,715032
1.61473E+12,3/3/2021 0:00,DOT/USDT,36.148,38.742,36.096,37.043,16145054.1,606813833.2,739165
1.61464E+12,3/2/2021 0:00,DOT/USDT,35.675,37.976,34.387,36.136,20430023,739060603.6,970368
1.61456E+12,3/1/2021 0:00,DOT/USDT,33.817,35.711,33.024,35.677,16295645.1,562731104,841180
1.61447E+12,2/28/2021 0:00,DOT/USDT,33.486,34.543,29.692,33.805,24909468,791288843.4,1191654
1.61438E+12,2/27/2021 0:00,DOT/USDT,31.444,35.7,31.335,33.491,25696093.9,873896279.7,1109871
1.6143E+12,2/26/2021 0:00,DOT/USDT,31.255,33.528,27.953,31.449,28569767.9,876768081.3,1204654
1.61421E+12,2/25/2021 0:00,DOT/USDT,33.656,35.263,30.86,31.24,16301674.8,545971607.6,772377
1.61412E+12,2/24/2021 0:00,DOT/USDT,34.554,36.84,31.839,33.642,23026108.6,799430877.9,1010076
1.61404E+12,2/23/2021 0:00,DOT/USDT,37.66,37.904,26.116,34.544,40564480.5,1326332104,1790206
1.61395E+12,2/22/2021 0:00,DOT/USDT,39.629,39.815,30.038,37.663,31628718.7,1141837021,1202012
1.61387E+12,2/21/2021 0:00,DOT/USDT,38.976,40.636,38.095,39.632,18338418.7,717883576.5,890977
1.61378E+12,2/20/2021 0:00,DOT/USDT,34.878,42.395,34.752,38.979,35310361,1378102575,1582684
1.61369E+12,2/19/2021 0:00,DOT/USDT,31.155,35.098,29.553,34.872,19566331.1,638312032.8,808295
1.61361E+12,2/18/2021 0:00,DOT/USDT,31.987,32.699,30.581,31.156,10578478.3,333358546.3,487881
1.61352E+12,2/17/2021 0:00,DOT/USDT,30.129,32.547,29.655,31.988,20888293.7,647263229.2,878055
1.61343E+12,2/16/2021 0:00,DOT/USDT,27.842,31.1,26.797,30.12,27106901.2,805001272.3,1056503
1.61335E+12,2/15/2021 0:00,DOT/USDT,26.939,29.641,23,27.831,28367677.7,764135003.4,1002070
1.61326E+12,2/14/2021 0:00,DOT/USDT,28.077,29.517,26.41,26.931,15452172.9,430897316.3,573139
1.61317E+12,2/13/2021 0:00,DOT/USDT,28.705,30.328,27.232,28.073,21188201.6,609898467,767814
1.61309E+12,2/12/2021 0:00,DOT/USDT,25.063,29.85,24.525,28.702,24039557.8,656586179.3,744055
1.613E+12,2/11/2021 0:00,DOT/USDT,23.616,25.8,23.23,25.06,21511694.7,536794884.5,716575
1.61292E+12,2/10/2021 0:00,DOT/USDT,23.116,25.053,21.789,23.615,27330060.5,643333852.7,824754
1.61283E+12,2/9/2021 0:00,DOT/USDT,23.05,24.269,22.25,23.126,18748202.3,435206368,661978
1.61274E+12,2/8/2021 0:00,DOT/USDT,19.765,23.777,19.2,23.04,34084912.5,750126408.2,987286
1.61266E+12,2/7/2021 0:00,DOT/USDT,20.405,20.85,18.403,19.765,20961242.6,412639842.3,636257
1.61257E+12,2/6/2021 0:00,DOT/USDT,20.873,21.509,19.839,20.405,17725677.8,361865977.3,519801
1.61248E+12,2/5/2021 0:00,DOT/USDT,19.695,21.472,19.377,20.881,25124472.5,520351546.4,723039
1.6124E+12,2/4/2021 0:00,DOT/USDT,20.879,21.946,19.01,19.695,35648972.7,730860892,1038741
1.61231E+12,2/3/2021 0:00,DOT/USDT,17.216,20.97,16.864,20.88,38717930.2,739056414.9,1092535
1.61222E+12,2/2/2021 0:00,DOT/USDT,16.466,17.704,16.065,17.213,18555700.4,313573026.1,606634
